l0,l1,l2,cycle,dsp,ii
1,4,8,2052,5,1
1,8,4,8196,5,4
2,2,8,4100,5,2
2,4,4,8196,5,4
2,8,2,4100,5,2
4,1,8,2052,5,1
4,2,4,16388,5,8
4,4,2,4100,5,2
8,1,4,8196,5,4
8,2,2,8196,5,4
16,1,2,4100,5,2
l0,l1,l2,cycle,dsp,ii
1,2,8,8196,5,2
1,4,4,16388,5,4
1,8,2,8196,5,2
2,1,8,4100,5,1
2,2,4,32772,5,8
2,4,2,8196,5,2
4,1,4,16388,5,4
4,2,2,16388,5,4
8,1,2,8196,5,2
l0,l1,l2,cycle,dsp,ii
1,4,8,2050,5,1
1,8,4,2050,5,1
2,2,8,2050,5,1
2,4,4,2050,5,1
2,8,2,2050,5,1
4,1,8,2050,5,1
4,2,4,2050,5,1
4,4,2,2050,5,1
8,1,4,2050,5,1
8,2,2,2050,5,1
16,1,2,2050,5,1
l0,l1,l2,cycle,dsp,ii
1,2,8,4098,5,1
1,4,4,4098,5,1
1,8,2,4098,5,1
2,1,8,4098,5,1
2,2,4,4098,5,1
2,4,2,4098,5,1
4,1,4,4098,5,1
4,2,2,4098,5,1
8,1,2,4098,5,1
l0,l1,l2,cycle,dsp,ii
l0,l1,l2,cycle,dsp,ii
