l0,l1,cycle,dsp,ii
2,16,120590338,208
4,8,122685442,208
8,4,126878722,208
l0,l1,l2,cycle,dsp,ii
1,4,16,1073741841,368,1
1,8,8,1073741841,344,1
1,16,4,1073741841,332,1
2,2,16,2147483672,208,2
2,4,8,2147483672,184,2
2,8,4,2147483672,172,2
4,1,16,4294967334,128,4
4,2,8,4294967334,104,4
4,4,4,4294967334,92,4
8,1,8,8589934658,64,8
8,2,4,8589934658,52,8
16,1,4,17179869306,32,16
l0,l1,l2,cycle,dsp,ii
1,2,16,2147483665,208,1
1,4,8,2147483665,184,1
1,8,4,2147483665,172,1
2,1,16,4294967320,128,2
2,2,8,4294967320,104,2
2,4,4,4294967320,92,2
4,1,8,8589934630,64,4
4,2,4,8589934630,52,4
8,1,4,17179869250,32,8
4,32,524296,128
8,16,1048584,104
1,4,16,1073741841,368,1
1,8,8,1073741841,344,1
1,16,4,1073741841,332,1
2,2,16,2147483672,208,2
2,4,8,2147483672,184,2
2,8,4,2147483672,172,2
4,1,16,4294967334,128,4
4,2,8,4294967334,104,4
4,4,4,4294967334,92,4
8,1,8,8589934658,64,8
8,2,4,8589934658,52,8
16,1,4,17179869306,32,16
1,8,16,536870929,688,1
2,4,16,1073741848,368,2
4,2,16,2147483686,208,4
8,1,16,4294967362,128,8
2,16,1048584,104
4,8,2097160,104
8,4,4194312,104
1,4,16,1073741841,368,1
1,8,8,1073741841,344,1
1,16,4,1073741841,332,1
2,2,16,2147483672,208,2
2,4,8,2147483672,184,2
2,8,4,2147483672,172,2
4,1,16,4294967334,128,4
4,2,8,4294967334,104,4
4,4,4,4294967334,92,4
8,1,8,8589934658,64,8
8,2,4,8589934658,52,8
16,1,4,17179869306,32,16
1,2,16,2147483665,208,1
1,4,8,2147483665,184,1
1,8,4,2147483665,172,1
2,1,16,4294967320,128,2
2,2,8,4294967320,104,2
2,4,4,4294967320,92,2
4,1,8,8589934630,64,4
4,2,4,8589934630,52,4
8,1,4,17179869250,32,8
1,16,1048584,64
2,8,2097160,52
4,4,4194312,52
1,4,16,1073741841,368,1
1,8,8,1073741841,344,1
1,16,4,1073741841,332,1
2,2,16,1073741846,416,1
2,4,8,1073741846,368,1
2,8,4,1073741846,344,1
4,1,16,1073741856,512,1
