l0,cycle,dsp,ii
l0,l1,cycle,dsp,ii
4,32,524326,256
8,16,1048642,128
16,8,2097274,64
32,4,4194538,32
l0,l1,cycle,dsp,ii
2,32,524312,256
4,16,1048614,128
8,8,2097218,64
16,4,4194426,34
l0,l1,cycle,dsp,ii
2,16,1048600,128
4,8,2097190,64
8,4,4194370,34
l0,l1,cycle,dsp,ii
2,16,8388656,36
2,16,8388656,36
4,8,8388656,36
8,4,26738729,13
4,32,524326,256
8,16,1048642,128
16,8,2097274,64
32,4,4194538,32
2,32,524312,256
4,16,1048614,128
8,8,2097218,64
16,4,4194426,32
2,16,1048600,128
4,8,2097190,64
8,4,4194370,32
2,16,524306,320
4,8,524306,320
8,4,524306,320
4,32,524326,256
8,16,1048642,128
16,8,2097274,64
32,4,4194538,32
2,32,524312,256
4,16,1048614,128
8,8,2097218,64
16,4,4194426,32
2,16,1048600,128
4,8,2097190,64
8,4,4194370,32
2,16,524306,320
4,8,524306,320
8,4,524306,320
4,32,524326,256
8,16,1048642,128
16,8,2097274,64
2,32,524312,256
4,16,1048614,128
8,8,2097218,80
2,8,2097176,80
2,8,2097176,80
4,4,16777245,80
2,8,2097176,80
4,4,4194342,80
2,8,1048594,160
2,8,1048594,160
4,4,1048594,160
4,32,524326,256
8,16,1048642,160
16,8,2097274,160
2,32,524312,256
4,16,1048614,160
8,8,2097218,160
1,16,1048593,160
1,16,1048593,160
2,8,16777233,160
4,4,16777245,160
1,16,1048593,160
2,8,2097176,160
4,4,4194342,160
1,16,1048594,160
1,16,1048594,160
2,8,1048594,160
4,4,1048594,160
1,32,524305,256
2,16,1048600,160
4,8,2097190,160
8,4,4194370,160
1,32,524305,256
2,16,1048600,160
4,8,16777233,160
8,4,16777261,160
1,16,1048593,160
2,8,16777233,160
4,4,16777245,160
1,16,1048593,160
2,8,2097176,160
4,4,4194342,160
1,32,524306,320
2,16,524306,320
4,8,524306,320
8,4,524306,320
1,16,1048594,160
2,8,1048594,160
4,4,1048594,160
1,32,524305,256
2,16,1048600,160
4,8,2097190,160
8,4,4194370,160
1,32,524305,256
2,16,1048600,160
4,8,16777233,160
8,4,16777261,160
1,16,1048593,160
2,8,16777233,160
4,4,16777245,160
1,16,1048593,160
2,8,2097176,160
4,4,4194342,160
1,32,524306,320
2,16,524306,320
4,8,524306,320
8,4,524306,320
1,16,1048594,160
2,8,1048594,160
4,4,1048594,160
1,16,1048593,128
2,8,2097176,128
4,4,16777245,128
8,2,16777275,128
