l0,l1,l2,cycle,dsp,ii
1,2,2,205957152792,7,12
1,2,2,205957152792,7,12
1,2,2,205957152792,20,12
1,2,2,205957152792,20,12
1,2,2,205957152792,20,12
1,2,2,205957152792,20,12
1,2,2,205957152792,20,12
1,2,2,205957152792,20,12
1,2,2,205957152792,20,12
1,2,2,205957152792,20,12
1,2,2,205957152792,20,12
1,2,2,205957152792,20,12
1,2,2,205957152792,20,12
1,2,2,205957152792,20,12
1,2,2,205957152792,20,12
1,2,2,205957152792,20,12
1,2,2,205957152792,20,12
1,2,2,205957152792,20,12
1,2,2,205957152792,20,12
1,2,2,205957152792,20,12
1,2,2,205957152792,20,12
1,2,2,205957152792,20,12
1,2,2,205957152792,20,12
1,2,2,205957152792,20,12
