l0,l1,l2,cycle,dsp,ii
1,2,16,3538988,5,32
1,4,8,3538957,5,32
1,8,4,3538957,5,32
1,16,2,3538957,5,32
2,1,16,1769500,10,16
2,2,8,1769500,10,16
2,4,4,1769485,10,16
2,8,2,1769485,10,16
4,1,8,884756,20,8
4,2,4,884756,20,8
4,4,2,884749,20,8
8,1,4,442384,40,4
8,2,2,442381,40,4
l0,l1,l2,cycle,dsp,ii
1,1,16,43137980,5,14379326
1,2,8,3538972,5,16
1,4,4,3538957,5,16
1,8,2,3538957,5,16
2,1,8,1769492,10,8
2,2,4,1769492,10,8
2,4,2,1769485,10,8
4,1,4,884752,20,4
4,2,2,884749,20,4
8,1,2,442381,40,2
l0,l1,l2,cycle,dsp,ii
