l0,l1,l2,cycle,dsp,ii
1,2,2,32772,5,1
l0,l1,l2,cycle,dsp,ii
1,2,2,32772,5,1
l0,l1,l2,cycle,dsp,ii
1,2,2,32770,5,1
1,2,2,32772,5,1
1,2,2,32772,5,1
1,2,2,32770,5,1
1,2,2,32772,0,1
1,2,2,32772,0,1
1,2,2,32770,0,1
1,2,2,32772,3,1
1,2,2,32772,3,1
1,2,2,32770,3,1
1,2,2,131076,3,4
1,2,4,131076,3,8
1,2,8,131076,3,16
1,2,16,8196,3,2
1,4,2,131076,3,8
1,4,4,131076,3,16
1,4,8,131076,3,32
1,4,16,8196,3,4
1,8,2,131076,3,16
1,8,4,131076,3,32
1,8,8,131076,3,64
1,8,16,8196,3,8
1,16,2,8196,3,2
1,16,4,8196,3,4
1,16,8,8196,3,8
1,16,16,516,3,1
1,2,2,131076,3,4
1,2,4,131076,3,8
1,2,8,131076,3,16
1,2,16,8196,3,2
1,4,2,131076,3,8
1,4,4,131076,3,16
1,4,8,131076,3,32
1,4,16,8196,3,4
1,8,2,131076,3,16
1,8,4,131076,3,32
1,8,8,131076,3,64
1,8,16,8196,3,8
1,16,2,8196,3,2
1,16,4,8196,3,4
1,16,8,8196,3,8
1,16,16,516,3,1
1,2,2,32770,3,1
1,2,4,16386,3,1
1,2,8,8194,3,1
1,2,16,4098,3,1
1,4,2,16386,3,1
1,4,4,8194,3,1
1,4,8,4098,3,1
1,4,16,2050,3,1
1,8,2,8194,3,1
1,8,4,4098,3,1
1,8,8,2050,3,1
1,8,16,1026,3,1
1,16,2,4098,3,1
1,16,4,2050,3,1
1,16,8,1026,3,1
1,16,16,514,3,1
1,1,16,418054,3,209026
1,2,8,8196,3,1
1,4,4,32772,3,4
1,8,2,16388,3,2
2,1,8,8196,3,1
2,2,4,32772,3,4
2,4,2,16388,3,2
4,1,4,32772,3,4
4,2,2,16388,3,2
8,1,2,16388,3,2
1,1,16,418054,3,209026
1,2,8,8196,3,1
1,4,4,32772,3,4
1,8,2,16388,3,2
2,1,8,8196,3,1
2,2,4,32772,3,4
2,4,2,16388,3,2
4,1,4,32772,3,4
4,2,2,16388,3,2
8,1,2,16388,3,2
1,1,16,155910,3,77954
1,2,8,8194,3,1
1,4,4,8194,3,1
1,8,2,8194,3,1
2,1,8,8194,3,1
2,2,4,8194,3,1
2,4,2,8194,3,1
4,1,4,8194,3,1
4,2,2,8194,3,1
8,1,2,8194,3,1
8,1,8,2052,24,1
8,1,8,2052,24,1
8,1,8,2050,24,1
8,1,8,516,24,1
8,1,8,516,24,1
8,1,8,2052,24,1
8,1,8,2052,24,1
8,1,8,2050,24,1
32,1,1,50326,24,25162
8,1,8,1028,24,1
8,1,8,516,24,1
8,1,8,516,24,1
8,1,8,2052,24,1
8,1,8,2052,24,1
8,1,8,442384,24,8
8,1,8,2050,24,1
32,1,1,152348418,24,1190222
32,1,1,50326,3,25162
32,1,1,50326,3,25162
32,1,1,17558,3,8778
32,1,1,50326,3,25162
32,1,1,50326,3,25162
32,1,1,17558,3,8778
32,1,1,516,3,1
32,1,1,516,3,1
32,1,1,514,3,1
32,1,1,516,96,1
32,1,1,516,96,1
32,1,1,514,96,1
1,2,2,8196,3,1
1,2,2,32772,3,1
1,2,2,3538953,3,4
1,2,2,32770,3,1
1,2,2,8196,40,1
1,2,16,4100,40,1
1,4,8,32772,40,8
1,8,4,16388,40,4
1,16,2,8196,40,2
2,1,16,8196,40,2
2,2,8,65540,40,16
2,4,4,32772,40,8
2,8,2,16388,40,4
4,1,8,131076,40,32
4,2,4,65540,40,16
4,4,2,32772,40,8
8,1,4,16388,40,4
8,2,2,8196,40,2
1,1,16,418054,40,209026
1,2,8,65540,40,8
1,4,4,32772,40,4
1,8,2,16388,40,2
2,1,8,131076,40,16
2,2,4,65540,40,8
2,4,2,32772,40,4
4,1,4,131076,40,16
4,2,2,65540,40,8
8,1,2,16388,40,2
1,2,16,3538988,5,32
1,4,8,3538957,5,32
1,8,4,3538957,5,32
1,16,2,3538957,5,32
2,1,16,1769500,10,16
2,2,8,1769500,10,16
2,4,4,1769485,10,16
2,8,2,1769485,10,16
4,1,8,884756,20,8
4,2,4,884756,20,8
4,4,2,884749,20,8
8,1,4,442384,40,4
8,2,2,442381,40,4
1,1,16,43137980,5,14379326
1,2,8,3538972,5,16
1,4,4,3538957,5,16
1,8,2,3538957,5,16
2,1,8,1769492,10,8
2,2,4,1769492,10,8
2,4,2,1769485,10,8
4,1,4,884752,20,4
4,2,2,884749,20,4
8,1,2,442381,40,2
1,2,16,4098,5,1
1,4,8,4098,5,1
1,8,4,4098,5,1
1,16,2,4098,5,1
2,1,16,4098,5,1
2,2,8,4098,5,1
2,4,4,4098,5,1
2,8,2,4098,5,1
4,1,8,4098,5,1
4,2,4,4098,5,1
4,4,2,4098,5,1
8,1,4,4098,5,1
8,2,2,4098,5,1
1,1,16,155910,5,77954
1,2,8,8194,5,1
1,4,4,8194,5,1
1,8,2,8194,5,1
2,1,8,8194,5,1
2,2,4,8194,5,1
2,4,2,8194,5,1
4,1,4,8194,5,1
4,2,2,8194,5,1
8,1,2,8194,5,1
1,2,16,8196,5,2
1,4,8,4100,5,1
1,8,4,16388,5,4
1,16,2,8196,5,2
2,1,16,4100,5,1
2,2,8,8196,5,2
2,4,4,16388,5,4
2,8,2,8196,5,2
4,1,8,4100,5,1
4,2,4,32772,5,8
4,4,2,8196,5,2
8,1,4,16388,5,4
8,2,2,16388,5,4
1,1,16,418054,5,209026
1,2,8,16388,5,2
1,4,4,32772,5,4
1,8,2,16388,5,2
2,1,8,8196,5,1
2,2,4,65540,5,8
2,4,2,16388,5,2
4,1,4,32772,5,4
4,2,2,32772,5,4
8,1,2,16388,5,2
1,2,16,8194,5,2
1,4,8,4098,5,1
1,8,4,16386,5,4
1,16,2,8194,5,2
2,1,16,4098,5,1
2,2,8,8194,5,2
2,4,4,16386,5,4
2,8,2,8194,5,2
4,1,8,4098,5,1
4,2,4,32770,5,8
4,4,2,8194,5,2
8,1,4,16386,5,4
8,2,2,16386,5,4
1,1,16,155910,5,77954
1,2,8,16386,5,2
1,4,4,32770,5,4
1,8,2,16386,5,2
2,1,8,8194,5,1
2,2,4,65538,5,8
2,4,2,16386,5,2
4,1,4,32770,5,4
4,2,2,32770,5,4
8,1,2,16386,5,2
1,2,16,3538988,5,32
1,1,16,43137980,5,14379326
1,2,16,8196,5,2
1,4,8,4100,5,1
1,8,4,16388,5,4
1,16,2,8196,5,2
2,1,16,4100,5,1
2,2,8,8196,5,2
2,4,4,16388,5,4
2,8,2,8196,5,2
4,1,8,4100,5,1
4,2,4,32772,5,8
4,4,2,8196,5,2
8,1,4,16388,5,4
8,2,2,16388,5,4
1,1,16,418054,5,209026
1,2,8,16388,5,2
1,4,4,32772,5,4
1,8,2,16388,5,2
2,1,8,8196,5,1
2,2,4,65540,5,8
2,4,2,16388,5,2
4,1,4,32772,5,4
4,2,2,32772,5,4
8,1,2,16388,5,2
1,2,16,8194,5,2
1,4,8,4098,5,1
1,8,4,16386,5,4
1,16,2,8194,5,2
2,1,16,4098,5,1
2,2,8,8194,5,2
2,4,4,16386,5,4
2,8,2,8194,5,2
4,1,8,4098,5,1
4,2,4,32770,5,8
4,4,2,8194,5,2
8,1,4,16386,5,4
8,2,2,16386,5,4
1,1,16,155910,5,77954
1,2,8,16386,5,2
1,4,4,32770,5,4
1,8,2,16386,5,2
2,1,8,8194,5,1
2,2,4,65538,5,8
2,4,2,16386,5,2
4,1,4,32770,5,4
4,2,2,32770,5,4
8,1,2,16386,5,2
1,2,16,3538988,5,32
1,1,16,43137980,5,14379326
