l0,l1,l2,cycle,dsp,ii
1,16,8,4294967309,291,8
2,2,16,2147483668,371,2
2,8,8,4294967317,291,8
1,16,4,4294967309,291,4
2,2,16,2147483668,371,2
2,4,8,8589934613,251,8
1,16,4,1073741841,340,1
2,2,16,2147483672,251,2
2,4,8,2147483672,347,2
1,4,16,1073741841,368,1
1,8,8,8589934609,160,8
1,16,4,4294967313,160,4
2,2,16,2147483672,208,2
2,4,8,17179869201,160,16
2,8,4,8589934613,160,8
4,1,16,4294967334,160,4
4,2,8,34359738385,160,32
4,4,4,17179869213,160,16
8,1,8,68719476753,160,64
8,2,4,34359738413,160,32
16,1,4,68719476813,160,64
4,32,524290,160
8,16,1048578,160
1,4,16,1073741837,320,1
1,8,8,8589934605,208,8
1,16,4,4294967309,208,4
2,2,16,2147483668,208,2
2,4,8,8589934613,208,8
2,8,4,4294967317,208,4
4,1,16,4294967330,104,4
4,2,8,8589934629,104,8
4,4,4,4294967333,104,4
8,1,8,8589934661,104,8
8,2,4,8589934657,104,8
16,1,4,17179869305,104,16
1,8,16,536870925,640,1
2,4,16,1073741844,320,2
4,2,16,2147483682,160,4
8,1,16,4294967358,104,8
1,8,16,536870929,688,1
2,4,16,1073741848,368,2
4,2,16,2147483686,208,4
8,1,16,4294967362,128,8
1,4,16,1073741841,368,1
1,8,8,8589934609,160,8
1,16,4,4294967313,160,4
2,2,16,2147483672,208,2
2,4,8,17179869201,160,16
2,8,4,8589934613,160,8
4,1,16,4294967334,160,4
4,2,8,34359738385,160,32
4,4,4,17179869213,160,16
8,1,8,68719476753,160,64
8,2,4,34359738413,160,32
16,1,4,68719476813,160,64
2,16,1048578,160
4,8,2097154,160
8,4,4194306,160
1,4,16,1073741837,320,1
1,8,8,8589934605,208,8
1,16,4,4294967309,208,4
2,2,16,2147483668,208,2
2,4,8,8589934613,208,8
2,8,4,4294967317,208,4
4,1,16,4294967330,104,4
4,2,8,8589934629,104,8
4,4,4,4294967333,104,4
8,1,8,8589934661,104,8
8,2,4,8589934657,104,8
16,1,4,17179869305,104,16
1,2,16,2147483661,208,1
1,4,8,17179869197,208,8
1,8,4,8589934605,208,4
2,1,16,4294967316,208,2
2,2,8,17179869205,208,8
2,4,4,8589934613,208,4
4,1,8,17179869221,104,8
4,2,4,8589934629,104,4
8,1,4,17179869249,104,8
1,2,16,2147483665,208,1
1,4,8,2147483665,184,1
1,8,4,2147483665,172,1
2,1,16,4294967320,128,2
2,2,8,4294967320,104,2
2,4,4,4294967320,92,2
4,1,8,8589934630,64,4
4,2,4,8589934630,52,4
8,1,4,17179869250,32,8
2,16,1048578,160
4,8,2097154,160
8,4,4194306,160
1,4,16,1073741837,320,1
1,8,8,8589934605,160,8
1,16,4,4294967309,160,4
2,2,16,2147483668,160,2
2,4,8,8589934613,160,8
2,8,4,4294967317,160,4
4,1,16,4294967330,160,4
4,2,8,8589934629,160,8
