l0,cycle,dsp,ii
1,16,1048589,80
1,16,1048589,80
2,8,2097172,40
4,4,4194338,20
1,16,1048589,80
1,16,1048589,80
2,8,2097172,40
4,4,4194338,20
1,16,1048589,80
1,16,1048589,80
2,8,2097172,40
4,4,4194338,20
1,16,1048589,80
1,16,1048589,80
2,8,2097172,40
4,4,4194338,20
1,16,12591106,80
1,16,12591106,80
2,8,17829890,64
4,4,28313602,32
1,64,262157,320
2,32,524308,160
4,16,1048610,160
8,8,2097214,160
16,4,4194422,160
1,64,262157,320
2,32,524308,160
4,16,1048610,160
8,8,2097214,160
16,4,4194422,160
1,32,524301,160
2,16,1048596,160
4,8,2097186,160
8,4,4194366,160
1,32,524301,160
2,16,1048596,80
4,8,2097186,80
8,4,4194366,80
1,16,1048589,80
2,8,2097172,80
4,4,4194338,80
1,16,1048589,80
2,8,2097172,40
4,4,4194338,20
